,action,instance_id,step,type,strtype
0,7,5000,0,['14'],['14']
1,2,5000,1,['16'],['16']
2,7,5000,2,['24'],['24']
3,6,5000,3,"['24', '24']","['24', '24']"
4,4,5000,4,"['24', '24']","['24', '24']"
5,5,5000,5,"['14', '14']","['14', '14']"
6,8,5000,6,"['24', '26']","['24', '26']"
7,9,5000,7,"['16', '14']","['16', '14']"
8,3,5000,8,['26'],['26']
9,3,5001,0,['26'],['26']
10,2,5001,1,['16'],['16']
11,6,5001,2,"['24', '24']","['24', '24']"
12,9,5001,3,"['16', '14']","['16', '14']"
13,6,5001,4,['24'],['24']
14,7,5001,5,"['24', '24']","['24', '24']"
15,8,5001,6,"['24', '26']","['24', '26']"
16,5,5001,7,"['14', '14']","['14', '14']"
17,4,5001,8,['14'],['14']
18,3,5002,0,['26'],['26']
19,5,5002,1,"['14', '14']","['14', '14']"
20,2,5002,2,['16'],['16']
21,6,5002,3,"['24', '24']","['24', '24']"
22,9,5002,4,"['14', '16']","['14', '16']"
23,4,5002,5,['14'],['14']
24,7,5002,6,"['24', '24']","['24', '24']"
25,1,5002,7,"['26', '24']","['26', '24']"
26,6,5002,8,['24'],['24']
27,7,5003,0,['24'],['24']
28,5,5003,1,"['14', '14']","['14', '14']"
29,6,5003,2,"['24', '24']","['24', '24']"
30,4,5003,3,"['24', '24']","['24', '24']"
31,8,5003,4,"['24', '26']","['24', '26']"
32,5,5003,5,['14'],['14']
33,2,5003,6,['16'],['16']
34,3,5003,7,['26'],['26']
35,9,5003,8,"['16', '14']","['16', '14']"
36,1,5004,0,"['14', '16']","['14', '16']"
37,6,5004,1,"['24', '24']","['24', '24']"
38,2,5004,2,['16'],['16']
39,3,5004,3,['26'],['26']
40,4,5004,4,"['24', '24']","['24', '24']"
41,8,5004,5,"['24', '26']","['24', '26']"
42,6,5004,6,['24'],['24']
43,7,5004,7,['14'],['14']
44,7,5004,8,"['14', '14']","['14', '14']"
45,5,5005,0,"['14', '14']","['14', '14']"
46,6,5005,1,"['24', '24']","['24', '24']"
47,6,5005,2,['24'],['24']
48,7,5005,3,"['24', '24']","['24', '24']"
49,9,5005,4,"['14', '16']","['14', '16']"
50,4,5005,5,['14'],['14']
51,2,5005,6,['16'],['16']
52,8,5005,7,['26'],['26']
53,1,5005,8,"['24', '26']","['24', '26']"
54,8,5006,0,"['24', '26']","['24', '26']"
55,5,5006,1,"['14', '14']","['14', '14']"
56,6,5006,2,"['24', '24']","['24', '24']"
57,3,5006,3,['26'],['26']
58,2,5006,4,['16'],['16']
59,4,5006,5,['24'],['24']
60,5,5006,6,['14'],['14']
61,1,5006,7,"['24', '24']","['24', '24']"
62,9,5006,8,"['16', '14']","['16', '14']"
63,4,5007,0,['24'],['24']
64,9,5007,1,"['16', '14']","['16', '14']"
65,5,5007,2,['14'],['14']
66,8,5007,3,"['24', '26']","['24', '26']"
67,3,5007,4,['26'],['26']
68,5,5007,5,"['14', '14']","['14', '14']"
69,6,5007,6,"['24', '24']","['24', '24']"
70,1,5007,7,['16'],['16']
71,7,5007,8,"['24', '24']","['24', '24']"
72,6,5008,0,"['24', '24']","['24', '24']"
73,5,5008,1,"['14', '14']","['14', '14']"
74,4,5008,2,['14'],['14']
75,4,5008,3,['24'],['24']
76,2,5008,4,['16'],['16']
77,3,5008,5,['26'],['26']
78,9,5008,6,"['16', '14']","['16', '14']"
79,1,5008,7,"['24', '24']","['24', '24']"
80,8,5008,8,"['24', '26']","['24', '26']"
81,6,5009,0,"['24', '24']","['24', '24']"
82,5,5009,1,"['14', '14']","['14', '14']"
83,9,5009,2,"['14', '16']","['14', '16']"
84,4,5009,3,['24'],['24']
85,4,5009,4,['14'],['14']
86,2,5009,5,['16'],['16']
87,8,5009,6,"['24', '26']","['24', '26']"
88,3,5009,7,['26'],['26']
89,7,5009,8,"['24', '24']","['24', '24']"
90,2,5010,0,['16'],['16']
91,3,5010,1,['26'],['26']
92,4,5010,2,"['24', '24']","['24', '24']"
93,6,5010,3,"['24', '24']","['24', '24']"
94,9,5010,4,"['16', '14']","['16', '14']"
95,8,5010,5,"['24', '26']","['24', '26']"
96,5,5010,6,['14'],['14']
97,6,5010,7,['24'],['24']
98,5,5010,8,"['14', '14']","['14', '14']"
99,8,5011,0,"['24', '26']","['24', '26']"
100,2,5011,1,['16'],['16']
101,9,5011,2,"['14', '16']","['14', '16']"
102,6,5011,3,"['24', '24']","['24', '24']"
103,5,5011,4,"['14', '14']","['14', '14']"
104,3,5011,5,['26'],['26']
105,6,5011,6,['24'],['24']
106,7,5011,7,"['24', '24']","['24', '24']"
107,4,5011,8,['14'],['14']
108,7,5012,0,['24'],['24']
109,3,5012,1,['26'],['26']
110,5,5012,2,"['14', '14']","['14', '14']"
111,8,5012,3,"['24', '26']","['24', '26']"
