,action,instance_id,step,type,strtype
0,9,5000,0,['14'],['14']
1,8,5000,1,['16'],['16']
2,7,5000,2,['24'],['24']
3,7,5000,3,"['24', '24']","['24', '24']"
4,6,5000,4,"['24', '24']","['24', '24']"
5,9,5000,5,"['14', '14']","['14', '14']"
6,5,5000,6,"['24', '26']","['24', '26']"
7,1,5000,7,"['16', '14']","['16', '14']"
8,4,5000,8,['26'],['26']
9,9,5001,0,['26'],['26']
10,8,5001,1,['16'],['16']
11,7,5001,2,"['24', '24']","['24', '24']"
12,6,5001,3,"['16', '14']","['16', '14']"
13,7,5001,4,['24'],['24']
14,5,5001,5,"['24', '24']","['24', '24']"
15,1,5001,6,"['24', '26']","['24', '26']"
16,4,5001,7,"['14', '14']","['14', '14']"
17,3,5001,8,['14'],['14']
18,9,5002,0,['26'],['26']
19,8,5002,1,"['14', '14']","['14', '14']"
20,7,5002,2,['16'],['16']
21,6,5002,3,"['24', '24']","['24', '24']"
22,5,5002,4,"['14', '16']","['14', '16']"
23,8,5002,5,['14'],['14']
24,4,5002,6,"['24', '24']","['24', '24']"
25,1,5002,7,"['26', '24']","['26', '24']"
26,6,5002,8,['24'],['24']
27,9,5003,0,['24'],['24']
28,8,5003,1,"['14', '14']","['14', '14']"
29,9,5003,2,"['24', '24']","['24', '24']"
30,9,5003,3,"['24', '24']","['24', '24']"
31,7,5003,4,"['24', '26']","['24', '26']"
32,8,5003,5,['14'],['14']
33,6,5003,6,['16'],['16']
34,5,5003,7,['26'],['26']
35,1,5003,8,"['16', '14']","['16', '14']"
36,9,5004,0,"['14', '16']","['14', '16']"
37,8,5004,1,"['24', '24']","['24', '24']"
38,7,5004,2,['16'],['16']
39,6,5004,3,['26'],['26']
40,8,5004,4,"['24', '24']","['24', '24']"
41,5,5004,5,"['24', '26']","['24', '26']"
42,5,5004,6,['24'],['24']
43,9,5004,7,['14'],['14']
44,4,5004,8,"['14', '14']","['14', '14']"
45,9,5005,0,"['14', '14']","['14', '14']"
46,8,5005,1,"['24', '24']","['24', '24']"
47,8,5005,2,['24'],['24']
48,7,5005,3,"['24', '24']","['24', '24']"
49,6,5005,4,"['14', '16']","['14', '16']"
50,9,5005,5,['14'],['14']
51,5,5005,6,['16'],['16']
52,4,5005,7,['26'],['26']
53,1,5005,8,"['24', '26']","['24', '26']"
54,9,5006,0,"['24', '26']","['24', '26']"
55,8,5006,1,"['14', '14']","['14', '14']"
56,9,5006,2,"['24', '24']","['24', '24']"
57,7,5006,3,['26'],['26']
58,6,5006,4,['16'],['16']
59,5,5006,5,['24'],['24']
60,8,5006,6,['14'],['14']
61,5,5006,7,"['24', '24']","['24', '24']"
62,1,5006,8,"['16', '14']","['16', '14']"
63,9,5007,0,['24'],['24']
64,8,5007,1,"['16', '14']","['16', '14']"
65,7,5007,2,['14'],['14']
66,6,5007,3,"['24', '26']","['24', '26']"
67,5,5007,4,['26'],['26']
68,7,5007,5,"['14', '14']","['14', '14']"
69,9,5007,6,"['24', '24']","['24', '24']"
70,8,5007,7,['16'],['16']
71,9,5007,8,"['24', '24']","['24', '24']"
72,9,5008,0,"['24', '24']","['24', '24']"
73,8,5008,1,"['14', '14']","['14', '14']"
74,8,5008,2,['14'],['14']
75,9,5008,3,['24'],['24']
76,7,5008,4,['16'],['16']
77,6,5008,5,['26'],['26']
78,5,5008,6,"['16', '14']","['16', '14']"
79,9,5008,7,"['24', '24']","['24', '24']"
80,1,5008,8,"['24', '26']","['24', '26']"
81,9,5009,0,"['24', '24']","['24', '24']"
82,8,5009,1,"['14', '14']","['14', '14']"
83,7,5009,2,"['14', '16']","['14', '16']"
84,9,5009,3,['24'],['24']
85,8,5009,4,['14'],['14']
86,6,5009,5,['16'],['16']
87,5,5009,6,"['24', '26']","['24', '26']"
88,4,5009,7,['26'],['26']
89,9,5009,8,"['24', '24']","['24', '24']"
90,9,5010,0,['16'],['16']
91,8,5010,1,['26'],['26']
92,7,5010,2,"['24', '24']","['24', '24']"
93,6,5010,3,"['24', '24']","['24', '24']"
94,5,5010,4,"['16', '14']","['16', '14']"
95,1,5010,5,"['24', '26']","['24', '26']"
96,4,5010,6,['14'],['14']
97,7,5010,7,['24'],['24']
98,9,5010,8,"['14', '14']","['14', '14']"
99,9,5011,0,"['24', '26']","['24', '26']"
100,8,5011,1,['16'],['16']
101,7,5011,2,"['14', '16']","['14', '16']"
102,9,5011,3,"['24', '24']","['24', '24']"
103,6,5011,4,"['14', '14']","['14', '14']"
104,5,5011,5,['26'],['26']
105,4,5011,6,['24'],['24']
106,1,5011,7,"['24', '24']","['24', '24']"
107,7,5011,8,['14'],['14']
108,9,5012,0,['24'],['24']
109,8,5012,1,['26'],['26']
110,7,5012,2,"['14', '14']","['14', '14']"
111,6,5012,3,"['24', '26']","['24', '26']"
112,5,5012,4,['16'],['16']
113,1,5012,5,"['14', '16']","['14', '16']"
114,9,5012,6,"['24', '24']","['24', '24']"
115,7,5012,7,['14'],['14']
116,9,5012,8,"['24', '24']","['24', '24']"
117,9,5013,0,"['24', '24']","['24', '24']"
118,8,5013,1,['26'],['26']
119,9,5013,2,"['24', '24']","['24', '24']"
120,7,5013,3,['14'],['14']
121,6,5013,4,['16'],['16']
122,5,5013,5,"['14', '16']","['14', '16']"
123,1,5013,6,"['26', '24']","['26', '24']"
124,9,5013,7,['24'],['24']
125,7,5013,8,"['14', '14']","['14', '14']"
126,9,5014,0,"['24', '24']","['24', '24']"
127,9,5014,1,['24'],['24']
128,8,5014,2,['16'],['16']
129,7,5014,3,"['14', '14']","['14', '14']"
130,6,5014,4,"['24', '26']","['24', '26']"
131,9,5014,5,"['24', '24']","['24', '24']"
132,5,5014,6,['26'],['26']
133,7,5014,7,['14'],['14']
134,1,5014,8,"['16', '14']","['16', '14']"
135,9,5015,0,['26'],['26']
136,8,5015,1,"['16', '14']","['16', '14']"
137,7,5015,2,['24'],['24']
138,8,5015,3,['16'],['16']
139,6,5015,4,['14'],['14']
140,7,5015,5,"['24', '24']","['24', '24']"
141,5,5015,6,"['24', '24']","['24', '24']"
142,6,5015,7,"['14', '14']","['14', '14']"
143,1,5015,8,"['24', '26']","['24', '26']"
144,9,5016,0,"['26', '24']","['26', '24']"
145,8,5016,1,"['24', '24']","['24', '24']"
146,9,5016,2,['26'],['26']
147,8,5016,3,['24'],['24']
148,7,5016,4,['14'],['14']
149,6,5016,5,"['16', '14']","['16', '14']"
150,5,5016,6,"['24', '24']","['24', '24']"
151,7,5016,7,"['14', '14']","['14', '14']"
152,4,5016,8,['16'],['16']
153,9,5017,0,"['24', '26']","['24', '26']"
154,8,5017,1,"['14', '14']","['14', '14']"
155,9,5017,2,"['24', '24']","['24', '24']"
156,7,5017,3,['16'],['16']
157,6,5017,4,['26'],['26']
158,5,5017,5,"['24', '24']","['24', '24']"
159,1,5017,6,"['14', '16']","['14', '16']"
160,8,5017,7,['14'],['14']
161,5,5017,8,['24'],['24']
162,9,5018,0,['16'],['16']
163,8,5018,1,"['16', '14']","['16', '14']"
164,7,5018,2,"['14', '14']","['14', '14']"
165,6,5018,3,['24'],['24']
166,6,5018,4,"['24', '24']","['24', '24']"
167,5,5018,5,"['24', '24']","['24', '24']"
168,7,5018,6,['14'],['14']
169,4,5018,7,['26'],['26']
170,1,5018,8,"['26', '24']","['26', '24']"
171,9,5019,0,['14'],['14']
172,8,5019,1,"['16', '14']","['16', '14']"
173,7,5019,2,"['26', '24']","['26', '24']"
174,6,5019,3,['24'],['24']
175,6,5019,4,"['24', '24']","['24', '24']"
176,5,5019,5,['26'],['26']
177,8,5019,6,['16'],['16']
178,4,5019,7,"['24', '24']","['24', '24']"
179,9,5019,8,"['14', '14']","['14', '14']"
180,9,5020,0,"['26', '24']","['26', '24']"
181,8,5020,1,['16'],['16']
182,7,5020,2,['14'],['14']
183,6,5020,3,"['24', '24']","['24', '24']"
184,6,5020,4,['24'],['24']
185,7,5020,5,"['14', '14']","['14', '14']"
186,5,5020,6,"['24', '24']","['24', '24']"
187,9,5020,7,['26'],['26']
188,1,5020,8,"['16', '14']","['16', '14']"
189,9,5021,0,['26'],['26']
190,8,5021,1,['16'],['16']
191,7,5021,2,"['24', '24']","['24', '24']"
192,6,5021,3,['14'],['14']
193,6,5021,4,"['14', '14']","['14', '14']"
194,5,5021,5,"['26', '24']","['26', '24']"
195,1,5021,6,"['14', '16']","['14', '16']"
196,7,5021,7,['24'],['24']
197,4,5021,8,"['24', '24']","['24', '24']"
198,9,5022,0,"['24', '26']","['24', '26']"
199,8,5022,1,['26'],['26']
200,7,5022,2,"['14', '14']","['14', '14']"
201,9,5022,3,['24'],['24']
202,6,5022,4,"['24', '24']","['24', '24']"
203,5,5022,5,"['24', '24']","['24', '24']"
204,4,5022,6,['16'],['16']
205,1,5022,7,"['14', '16']","['14', '16']"
206,7,5022,8,['14'],['14']
207,9,5023,0,['26'],['26']
208,8,5023,1,"['24', '24']","['24', '24']"
209,7,5023,2,['16'],['16']
210,6,5023,3,"['14', '16']","['14', '16']"
211,8,5023,4,['24'],['24']
212,5,5023,5,"['24', '26']","['24', '26']"
213,4,5023,6,"['24', '24']","['24', '24']"
214,1,5023,7,"['14', '14']","['14', '14']"
215,6,5023,8,['14'],['14']
216,9,5024,0,"['14', '16']","['14', '16']"
217,8,5024,1,['16'],['16']
218,7,5024,2,"['24', '26']","['24', '26']"
219,9,5024,3,"['14', '14']","['14', '14']"
220,6,5024,4,"['24', '24']","['24', '24']"
221,7,5024,5,['24'],['24']
222,5,5024,6,['14'],['14']
223,4,5024,7,['26'],['26']
224,1,5024,8,"['24', '24']","['24', '24']"
225,9,5025,0,"['24', '24']","['24', '24']"
226,9,5025,1,['24'],['24']
227,9,5025,2,"['24', '24']","['24', '24']"
228,8,5025,3,"['14', '14']","['14', '14']"
229,7,5025,4,['26'],['26']
230,6,5025,5,"['14', '16']","['14', '16']"
231,5,5025,6,"['26', '24']","['26', '24']"
232,4,5025,7,['16'],['16']
233,8,5025,8,['14'],['14']
234,9,5026,0,"['24', '26']","['24', '26']"
235,9,5026,1,['24'],['24']
236,8,5026,2,['14'],['14']
237,8,5026,3,"['14', '14']","['14', '14']"
238,7,5026,4,['16'],['16']
239,6,5026,5,['26'],['26']
240,5,5026,6,"['24', '24']","['24', '24']"
241,1,5026,7,"['14', '16']","['14', '16']"
242,4,5026,8,"['24', '24']","['24', '24']"
243,9,5027,0,['14'],['14']
244,9,5027,1,"['14', '14']","['14', '14']"
245,8,5027,2,"['16', '14']","['16', '14']"
246,7,5027,3,"['24', '26']","['24', '26']"
247,6,5027,4,"['24', '24']","['24', '24']"
248,5,5027,5,"['24', '24']","['24', '24']"
249,8,5027,6,['16'],['16']
250,4,5027,7,['26'],['26']
251,7,5027,8,['24'],['24']
252,9,5028,0,"['14', '16']","['14', '16']"
253,9,5028,1,['14'],['14']
254,8,5028,2,"['24', '24']","['24', '24']"
255,7,5028,3,['26'],['26']
256,6,5028,4,"['26', '24']","['26', '24']"
257,8,5028,5,"['24', '24']","['24', '24']"
258,5,5028,6,['16'],['16']
259,4,5028,7,"['14', '14']","['14', '14']"
260,3,5028,8,['24'],['24']
261,9,5029,0,"['24', '24']","['24', '24']"
262,8,5029,1,"['14', '14']","['14', '14']"
263,9,5029,2,"['24', '24']","['24', '24']"
264,7,5029,3,"['16', '14']","['16', '14']"
265,6,5029,4,['26'],['26']
266,5,5029,5,"['24', '26']","['24', '26']"
267,9,5029,6,['24'],['24']
268,4,5029,7,['16'],['16']
269,8,5029,8,['14'],['14']
270,9,5030,0,['16'],['16']
271,8,5030,1,"['14', '14']","['14', '14']"
272,7,5030,2,"['14', '16']","['14', '16']"
273,6,5030,3,['26'],['26']
274,5,5030,4,"['24', '24']","['24', '24']"
275,8,5030,5,['14'],['14']
276,4,5030,6,"['24', '24']","['24', '24']"
277,5,5030,7,['24'],['24']
278,1,5030,8,"['26', '24']","['26', '24']"
279,9,5031,0,"['14', '14']","['14', '14']"
280,8,5031,1,"['16', '14']","['16', '14']"
281,7,5031,2,['26'],['26']
282,6,5031,3,"['24', '26']","['24', '26']"
283,6,5031,4,['24'],['24']
284,5,5031,5,"['24', '24']","['24', '24']"
285,8,5031,6,['16'],['16']
286,9,5031,7,['14'],['14']
287,4,5031,8,"['24', '24']","['24', '24']"
288,9,5032,0,['24'],['24']
289,8,5032,1,['16'],['16']
290,7,5032,2,"['14', '14']","['14', '14']"
291,9,5032,3,"['24', '24']","['24', '24']"
292,9,5032,4,"['24', '24']","['24', '24']"
293,7,5032,5,['14'],['14']
294,6,5032,6,"['14', '16']","['14', '16']"
295,5,5032,7,"['26', '24']","['26', '24']"
296,4,5032,8,['26'],['26']
297,9,5033,0,"['24', '24']","['24', '24']"
298,8,5033,1,['14'],['14']
299,8,5033,2,"['14', '14']","['14', '14']"
300,7,5033,3,"['14', '16']","['14', '16']"
301,6,5033,4,['16'],['16']
302,5,5033,5,"['26', '24']","['26', '24']"
303,9,5033,6,"['24', '24']","['24', '24']"
304,9,5033,7,['24'],['24']
305,4,5033,8,['26'],['26']
306,9,5034,0,"['16', '14']","['16', '14']"
307,8,5034,1,"['24', '26']","['24', '26']"
308,7,5034,2,['14'],['14']
309,8,5034,3,"['24', '24']","['24', '24']"
310,7,5034,4,"['14', '14']","['14', '14']"
311,6,5034,5,"['24', '24']","['24', '24']"
312,5,5034,6,['26'],['26']
313,6,5034,7,['24'],['24']
314,9,5034,8,['16'],['16']
315,9,5035,0,"['24', '24']","['24', '24']"
316,8,5035,1,"['14', '16']","['14', '16']"
317,9,5035,2,"['24', '24']","['24', '24']"
318,7,5035,3,['26'],['26']
319,6,5035,4,['16'],['16']
320,8,5035,5,"['14', '14']","['14', '14']"
321,5,5035,6,['14'],['14']
322,1,5035,7,"['26', '24']","['26', '24']"
323,9,5035,8,['24'],['24']
324,9,5036,0,['16'],['16']
325,8,5036,1,"['24', '24']","['24', '24']"
326,8,5036,2,"['24', '24']","['24', '24']"
327,7,5036,3,['24'],['24']
328,6,5036,4,['26'],['26']
329,5,5036,5,['14'],['14']
330,1,5036,6,"['24', '26']","['24', '26']"
331,5,5036,7,"['14', '14']","['14', '14']"
332,9,5036,8,"['16', '14']","['16', '14']"
333,9,5037,0,['26'],['26']
334,8,5037,1,"['24', '24']","['24', '24']"
335,7,5037,2,['14'],['14']
336,6,5037,3,"['14', '16']","['14', '16']"
337,5,5037,4,"['24', '26']","['24', '26']"
338,8,5037,5,"['24', '24']","['24', '24']"
339,5,5037,6,['24'],['24']
340,4,5037,7,['16'],['16']
341,7,5037,8,"['14', '14']","['14', '14']"
342,9,5038,0,['14'],['14']
343,8,5038,1,['26'],['26']
344,9,5038,2,"['14', '14']","['14', '14']"
345,7,5038,3,['24'],['24']
346,6,5038,4,['16'],['16']
347,7,5038,5,"['24', '24']","['24', '24']"
348,5,5038,6,"['24', '24']","['24', '24']"
