,instance_id,original_length,terminated_at_step,solved,tried,percentage
0,5000,23,15,0,1,0.0
1,5001,23,15,0,1,0.0
2,5002,23,18,0,1,0.0
3,5003,23,14,0,1,0.0
4,5004,23,11,0,1,0.0
5,5005,23,15,0,1,0.0
6,5006,23,23,1,1,0.0013245033112582781
7,5007,23,17,0,1,0.0
8,5008,23,17,0,1,0.0
9,5009,23,18,0,1,0.0
10,5010,23,15,0,1,0.0
11,5011,23,23,1,1,0.0013245033112582781
12,5012,23,15,0,1,0.0
13,5013,23,23,1,1,0.0013245033112582781
14,5014,23,19,0,1,0.0
15,5015,23,23,1,1,0.0013245033112582781
16,5016,23,23,1,1,0.0013245033112582781
17,5017,23,13,0,1,0.0
18,5018,23,21,0,1,0.0
19,5019,23,23,1,1,0.0013245033112582781
20,5020,23,20,0,1,0.0
21,5021,23,23,1,1,0.0013245033112582781
22,5022,23,12,0,1,0.0
23,5023,23,23,1,1,0.0013245033112582781
24,5024,23,23,1,1,0.0013245033112582781
25,5025,23,12,0,1,0.0
26,5026,23,23,1,1,0.0013245033112582781
27,5027,23,23,1,1,0.0013245033112582781
28,5028,23,18,0,1,0.0
29,5029,23,22,0,1,0.0
30,5030,23,23,1,1,0.0013245033112582781
31,5031,23,23,1,1,0.0013245033112582781
32,5032,23,20,0,1,0.0
33,5033,23,23,1,1,0.0013245033112582781
34,5034,23,22,0,1,0.0
35,5035,23,23,1,1,0.0013245033112582781
36,5036,23,18,0,1,0.0
37,5037,23,19,0,1,0.0
38,5038,23,15,0,1,0.0
39,5039,23,17,0,1,0.0
40,5040,23,12,0,1,0.0
41,5041,23,12,0,1,0.0
42,5042,23,23,1,1,0.0013245033112582781
43,5043,23,20,0,1,0.0
44,5044,23,18,0,1,0.0
45,5045,23,16,0,1,0.0
46,5046,23,23,1,1,0.0013245033112582781
47,5047,23,23,1,1,0.0013245033112582781
48,5048,23,23,1,1,0.0013245033112582781
49,5049,23,21,0,1,0.0
50,5050,23,15,0,1,0.0
51,5051,23,23,1,1,0.0013245033112582781
52,5052,23,14,0,1,0.0
53,5053,23,17,0,1,0.0
54,5054,23,23,1,1,0.0013245033112582781
55,5055,23,15,0,1,0.0
56,5056,23,19,0,1,0.0
57,5057,23,23,1,1,0.0013245033112582781
58,5058,23,23,1,1,0.0013245033112582781
59,5059,23,16,0,1,0.0
60,5060,23,23,1,1,0.0013245033112582781
61,5061,23,23,1,1,0.0013245033112582781
62,5062,23,22,0,1,0.0
63,5063,23,23,1,1,0.0013245033112582781
64,5064,23,20,0,1,0.0
65,5065,23,23,1,1,0.0013245033112582781
66,5066,23,16,0,1,0.0
67,5067,23,23,1,1,0.0013245033112582781
68,5068,23,18,0,1,0.0
69,5069,23,23,1,1,0.0013245033112582781
70,5070,23,23,1,1,0.0013245033112582781
71,5071,23,19,0,1,0.0
72,5072,23,20,0,1,0.0
73,5073,23,17,0,1,0.0
74,5074,23,23,1,1,0.0013245033112582781
75,5075,23,21,0,1,0.0
76,5076,23,20,0,1,0.0
77,5077,23,23,1,1,0.0013245033112582781
78,5078,23,23,1,1,0.0013245033112582781
79,5079,23,17,0,1,0.0
