,action,instance_id,step,type,strtype
0,5,4000,0,"['24', '24']","['24', '24']"
1,8,4000,1,"['24', '26']","['24', '26']"
2,4,4000,2,"['14', '14']","['14', '14']"
3,1,4000,3,"['16', '14']","['16', '14']"
4,7,4000,4,['24'],['24']
5,6,4000,5,['14'],['14']
6,7,4000,6,"['24', '24']","['24', '24']"
7,8,4000,7,['26'],['26']
8,3,4000,8,['16'],['16']
9,1,4001,0,"['16', '14']","['16', '14']"
10,2,4001,1,['26'],['26']
11,8,4001,2,"['26', '24']","['26', '24']"
12,6,4001,3,"['14', '14']","['14', '14']"
13,3,4001,4,['16'],['16']
14,7,4001,5,['24'],['24']
15,4,4001,6,"['24', '24']","['24', '24']"
16,6,4001,7,['14'],['14']
17,5,4001,8,"['24', '24']","['24', '24']"
18,6,4002,0,"['14', '14']","['14', '14']"
19,1,4002,1,"['14', '16']","['14', '16']"
20,8,4002,2,['26'],['26']
21,8,4002,3,"['26', '24']","['26', '24']"
22,7,4002,4,"['24', '24']","['24', '24']"
23,6,4002,5,['14'],['14']
24,3,4002,6,['16'],['16']
25,4,4002,7,['24'],['24']
26,5,4002,8,"['24', '24']","['24', '24']"
27,6,4003,0,"['14', '14']","['14', '14']"
28,5,4003,1,"['24', '24']","['24', '24']"
29,1,4003,2,"['14', '16']","['14', '16']"
30,8,4003,3,['26'],['26']
31,4,4003,4,"['24', '24']","['24', '24']"
32,3,4003,5,['16'],['16']
33,6,4003,6,['14'],['14']
34,7,4003,7,['24'],['24']
35,8,4003,8,"['26', '24']","['26', '24']"
36,1,4004,0,"['14', '16']","['14', '16']"
37,6,4004,1,"['14', '14']","['14', '14']"
38,4,4004,2,"['24', '24']","['24', '24']"
39,5,4004,3,"['24', '24']","['24', '24']"
40,3,4004,4,['16'],['16']
41,6,4004,5,['14'],['14']
42,8,4004,6,['26'],['26']
43,8,4004,7,"['26', '24']","['26', '24']"
44,7,4004,8,['24'],['24']
45,1,4005,0,"['16', '14']","['16', '14']"
46,6,4005,1,"['14', '14']","['14', '14']"
47,4,4005,2,"['24', '24']","['24', '24']"
48,5,4005,3,"['24', '24']","['24', '24']"
49,3,4005,4,['16'],['16']
50,6,4005,5,['14'],['14']
51,2,4005,6,['26'],['26']
52,8,4005,7,"['26', '24']","['26', '24']"
53,7,4005,8,['24'],['24']
54,6,4006,0,"['14', '14']","['14', '14']"
55,2,4006,1,['26'],['26']
56,6,4006,2,['14'],['14']
57,5,4006,3,"['24', '24']","['24', '24']"
58,3,4006,4,['16'],['16']
59,4,4006,5,['24'],['24']
60,8,4006,6,"['26', '24']","['26', '24']"
61,1,4006,7,"['14', '16']","['14', '16']"
62,7,4006,8,"['24', '24']","['24', '24']"
63,8,4007,0,"['24', '26']","['24', '26']"
64,2,4007,1,['16'],['16']
65,8,4007,2,['26'],['26']
66,6,4007,3,['14'],['14']
67,7,4007,4,"['24', '24']","['24', '24']"
68,4,4007,5,"['24', '24']","['24', '24']"
69,6,4007,6,"['14', '14']","['14', '14']"
70,1,4007,7,"['14', '16']","['14', '16']"
71,7,4007,8,['24'],['24']
72,6,4008,0,"['14', '14']","['14', '14']"
73,2,4008,1,['16'],['16']
74,1,4008,2,"['16', '14']","['16', '14']"
75,7,4008,3,['24'],['24']
76,8,4008,4,['26'],['26']
77,5,4008,5,"['24', '24']","['24', '24']"
78,6,4008,6,['14'],['14']
79,8,4008,7,"['26', '24']","['26', '24']"
80,4,4008,8,"['24', '24']","['24', '24']"
81,5,4009,0,"['24', '24']","['24', '24']"
82,6,4009,1,"['14', '14']","['14', '14']"
83,4,4009,2,['14'],['14']
84,3,4009,3,['16'],['16']
85,7,4009,4,"['24', '24']","['24', '24']"
86,4,4009,5,['24'],['24']
87,8,4009,6,"['24', '26']","['24', '26']"
88,8,4009,7,['26'],['26']
89,1,4009,8,"['14', '16']","['14', '16']"
90,7,4010,0,['24'],['24']
91,6,4010,1,['14'],['14']
92,3,4010,2,['16'],['16']
93,6,4010,3,"['14', '14']","['14', '14']"
94,8,4010,4,"['24', '26']","['24', '26']"
95,1,4010,5,"['16', '14']","['16', '14']"
96,8,4010,6,['26'],['26']
97,4,4010,7,"['24', '24']","['24', '24']"
98,5,4010,8,"['24', '24']","['24', '24']"
99,2,4011,0,['16'],['16']
100,5,4011,1,"['24', '24']","['24', '24']"
101,8,4011,2,['26'],['26']
102,7,4011,3,['24'],['24']
103,4,4011,4,['14'],['14']
104,8,4011,5,"['24', '26']","['24', '26']"
105,1,4011,6,"['16', '14']","['16', '14']"
106,6,4011,7,"['14', '14']","['14', '14']"
107,7,4011,8,"['24', '24']","['24', '24']"
108,5,4012,0,"['24', '24']","['24', '24']"
109,6,4012,1,['14'],['14']
110,1,4012,2,"['14', '16']","['14', '16']"
111,8,4012,3,['26'],['26']
